Queries,Task,Category,Sub_Category,Customer
generate Count  Caramels in Month Dec?,Count,NA,Caramels,NA
generate Max Shipment  Natural Cheese in Quarter Q2 to Q4?,Max Shipment,NA,Natural Cheese,NA
fetch Gross Sales  Ahold in Year 2019?,Gross Sales,NA,NA,Ahold
get Net sales  Ketchup in Month Jan to Dec?,Net sales,NA,Ketchup,NA
get Gross Sales  Cheese in Month May?,Gross Sales,Cheese,NA,NA
generate Revenue  Meats in Quarter Q2 to Q4?,Revenue,Meats,NA,NA
fetch Net sales  Cold Cuts in Month Aug?,Net sales,NA,Cold Cuts,NA
get Max Shipment  Candy in Month Apr to Aug?,Max Shipment,Candy,NA,NA
get Count  UNIFI in Year 2019?,Count,NA,NA,UNIFI
generate Revenue  Ahold in Year 2019?,Revenue,NA,NA,Ahold
display Net sales  Breakfast in Week Week42?,Net sales,Breakfast,NA,NA
fetch Net sales  Breakfast in Month Jan to Dec?,Net sales,Breakfast,NA,NA
fetch Top Line  Coffee in Month May?,Top Line,NA,Coffee,NA
display Revenue  Target in Quarter Q1 to Q4?,Revenue,NA,NA,Target
generate Bottom Line  Sauces in Year 2019?,Bottom Line,Sauces,NA,NA
fetch Net sales  Mayonaise in Week Week10 to Week35?,Net sales,NA,Mayonaise,NA
fetch Count  Costco in Week Week36?,Count,NA,NA,Costco
generate Top Line  Tea in Year 2019?,Top Line,NA,Tea,NA
fetch Bottom Line  Hot Dogs in Week Week14?,Bottom Line,NA,Hot Dogs,NA
generate Gross Sales  Amazon in Quarter Q2 to Q4?,Gross Sales,NA,NA,Amazon
get Gross Sales  Breakfast in Month Mar?,Gross Sales,Breakfast,NA,NA
generate Net sales  Gelatin in Month Feb to Nov?,Net sales,NA,Gelatin,NA
fetch Max Shipment  Grated in Year 2019?,Max Shipment,NA,Grated,NA
generate Net sales  Candy in Week Week19 to Week39?,Net sales,Candy,NA,NA
generate Revenue  Natural Cheese in Quarter Q3?,Revenue,NA,Natural Cheese,NA
get Count  Aldi in Year 2019?,Count,NA,NA,Aldi
generate Net sales  Meats in Month Jun?,Net sales,Meats,NA,NA
generate Bottom Line  Creamers in Year 2019?,Bottom Line,NA,Creamers,NA
generate Gross Sales  Sauces in Year 2019?,Gross Sales,Sauces,NA,NA
generate Count  Target in Month Apr to Oct?,Count,NA,NA,Target
get Gross Sales  Ahold in Week Week7?,Gross Sales,NA,NA,Ahold
fetch Max Shipment  Tea in Quarter Q2 to Q4?,Max Shipment,NA,Tea,NA
get Gross Sales  Chocolate in Quarter Q1?,Gross Sales,NA,Chocolate,NA
fetch Gross Sales  BBQ in Week Week2 to Week28?,Gross Sales,NA,BBQ,NA
display Net sales  Amazon in Week Week12?,Net sales,NA,NA,Amazon
fetch Net sales  Ketchup in Month Jan to Sep?,Net sales,NA,Ketchup,NA
generate Net sales  Cheese in Week Week18?,Net sales,Cheese,NA,NA
display Net sales  Chocolate in Week Week20 to Week36?,Net sales,NA,Chocolate,NA
fetch Net sales  Target in Year 2019?,Net sales,NA,NA,Target
get Net sales  Candy in Quarter Q1 to Q4?,Net sales,Candy,NA,NA
fetch Bottom Line  UNIFI in Week Week33?,Bottom Line,NA,NA,UNIFI
get Bottom Line  Sauces in Month Jan to Oct?,Bottom Line,Sauces,NA,NA
display Gross Sales  Candy in Quarter Q4?,Gross Sales,Candy,NA,NA
get Gross Sales  Dollar General in Quarter Q2 to Q4?,Gross Sales,NA,NA,Dollar General
display Net sales  Albertsons/Safeway in Week Week27?,Net sales,NA,NA,Albertsons/Safeway
get Max Shipment  Ahold in Quarter Q2 to Q4?,Max Shipment,NA,NA,Ahold
generate Top Line  Cheese in Week Week51?,Top Line,Cheese,NA,NA
display Count  Specialty Meats in Month Jun to Aug?,Count,NA,Specialty Meats,NA
get Net sales  Cheese in Quarter Q3?,Net sales,Cheese,NA,NA
generate Bottom Line  Hot Dogs in Week Week4 to Week38?,Bottom Line,NA,Hot Dogs,NA
fetch Count  Costco in Month Feb?,Count,NA,NA,Costco
fetch Net sales  Meats in Quarter Q2 to Q4?,Net sales,Meats,NA,NA
display Count  Caramels in Quarter Q1?,Count,NA,Caramels,NA
display Gross Sales  Sauces in Week Week22 to Week49?,Gross Sales,Sauces,NA,NA
generate Gross Sales  Ketchup in Month Nov?,Gross Sales,NA,Ketchup,NA
fetch Net sales  Bars/Snacks in Week Week17 to Week44?,Net sales,NA,Bars/Snacks,NA
get Revenue  Tea in Week Week44?,Revenue,NA,Tea,NA
generate Top Line  Creamers in Month May to Nov?,Top Line,NA,Creamers,NA
display Net sales  Breakfast in Week Week29?,Net sales,Breakfast,NA,NA
display Net sales  Ketchup in Week Week7 to Week39?,Net sales,NA,Ketchup,NA
fetch Bottom Line  Ahold in Year 2019?,Bottom Line,NA,NA,Ahold
display Top Line  Kroger in Quarter Q2 to Q4?,Top Line,NA,NA,Kroger
fetch Bottom Line  UNIFI in Quarter Q4?,Bottom Line,NA,NA,UNIFI
generate Net sales  Bacon in Month Feb to Dec?,Net sales,NA,Bacon,NA
fetch Max Shipment  Breakfast in Year 2019?,Max Shipment,Breakfast,NA,NA
fetch Net sales  Shelf Stable in Week Week6 to Week41?,Net sales,NA,Shelf Stable,NA
display Gross Sales  Target in Month Jul?,Gross Sales,NA,NA,Target
display Gross Sales  Cheese in Week Week18 to Week42?,Gross Sales,Cheese,NA,NA
get Max Shipment  Gelatin in Week Week34?,Max Shipment,NA,Gelatin,NA
generate Count  Costco in Quarter Q2 to Q4?,Count,NA,NA,Costco
get Count  Coffee in Quarter Q3?,Count,NA,Coffee,NA
get Gross Sales  Dollar General in Quarter Q1 to Q4?,Gross Sales,NA,NA,Dollar General
get Count  Shelf Stable in Quarter Q4?,Count,NA,Shelf Stable,NA
get Max Shipment  UNIFI in Week Week22 to Week52?,Max Shipment,NA,NA,UNIFI
display Max Shipment  Coffee in Quarter Q3?,Max Shipment,NA,Coffee,NA
display Max Shipment  All others in Quarter Q2 to Q4?,Max Shipment,NA,All others,NA
fetch Bottom Line  Dollar General in Week Week46?,Bottom Line,NA,NA,Dollar General
generate Count  Ketchup in Quarter Q1 to Q4?,Count,NA,Ketchup,NA
fetch Top Line  Ketchup in Month Jun?,Top Line,NA,Ketchup,NA
fetch Top Line  Breakfast in Quarter Q2 to Q4?,Top Line,Breakfast,NA,NA
generate Bottom Line  Candy in Month Jan?,Bottom Line,Candy,NA,NA
display Revenue  Sauces in Quarter Q2 to Q4?,Revenue,Sauces,NA,NA
get Max Shipment  Walmart in Week Week51?,Max Shipment,NA,NA,Walmart
get Count  Cheese in Month Apr to Oct?,Count,Cheese,NA,NA
generate Net sales  BBQ in Year 2019?,Net sales,NA,BBQ,NA
fetch Gross Sales  Breakfast in Month Mar to Nov?,Gross Sales,Breakfast,NA,NA
display Revenue  Costco in Quarter Q2?,Revenue,NA,NA,Costco
fetch Gross Sales  Caramels in Month May to Aug?,Gross Sales,NA,Caramels,NA
fetch Bottom Line  Target in Week Week29?,Bottom Line,NA,NA,Target
get Count  Cheese in Quarter Q2 to Q4?,Count,Cheese,NA,NA
fetch Net sales  Sauces in Quarter Q4?,Net sales,Sauces,NA,NA
get Bottom Line  UNIFI in Month Mar to Sep?,Bottom Line,NA,NA,UNIFI
get Revenue  Sauces in Year 2019?,Revenue,Sauces,NA,NA
display Net sales  Hot Dogs in Quarter Q1 to Q4?,Net sales,NA,Hot Dogs,NA
generate Net sales  Ketchup in Year 2019?,Net sales,NA,Ketchup,NA
generate Max Shipment  Walmart in Week Week8 to Week49?,Max Shipment,NA,NA,Walmart
get Revenue  Shelf Stable in Week Week31?,Revenue,NA,Shelf Stable,NA
generate Gross Sales  Breakfast in Year 2019?,Gross Sales,Breakfast,NA,NA
fetch Count  Chocolate in Quarter Q1?,Count,NA,Chocolate,NA
display Net sales  Breakfast in Week Week10 to Week28?,Net sales,Breakfast,NA,NA
display Revenue  Costco in Week Week44?,Revenue,NA,NA,Costco
display Max Shipment  Candy in Week Week22 to Week37?,Max Shipment,Candy,NA,NA
display Top Line  Sauces in Quarter Q3?,Top Line,Sauces,NA,NA
fetch Revenue  Sauces in Year 2019?,Revenue,Sauces,NA,NA
get Top Line  Publix in Quarter Q1?,Top Line,NA,NA,Publix
get Bottom Line  Walmart in Month May to Aug?,Bottom Line,NA,NA,Walmart
fetch Top Line  Bacon in Year 2019?,Top Line,NA,Bacon,NA
generate Max Shipment  Kroger in Week Week17 to Week27?,Max Shipment,NA,NA,Kroger
generate Net sales  Meats in Quarter Q2?,Net sales,Meats,NA,NA
generate Max Shipment  Creamers in Quarter Q2 to Q4?,Max Shipment,NA,Creamers,NA
display Top Line  Sauces in Month Mar?,Top Line,Sauces,NA,NA
display Revenue  Chocolate in Quarter Q2 to Q4?,Revenue,NA,Chocolate,NA
get Gross Sales  Ahold in Quarter Q3?,Gross Sales,NA,NA,Ahold
generate Net sales  Juice in Year 2019?,Net sales,NA,Juice,NA
generate Net sales  Cheese in Year 2019?,Net sales,Cheese,NA,NA
get Top Line  Publix in Week Week11 to Week50?,Top Line,NA,NA,Publix
fetch Revenue  Publix in Month Dec?,Revenue,NA,NA,Publix
get Top Line  Cheese in Quarter Q1 to Q4?,Top Line,Cheese,NA,NA
display Max Shipment  Natural Cheese in Year 2019?,Max Shipment,NA,Natural Cheese,NA
display Top Line  BBQ in Year 2019?,Top Line,NA,BBQ,NA
fetch Revenue  Costco in Year 2019?,Revenue,NA,NA,Costco
get Top Line  Cheese in Quarter Q1 to Q4?,Top Line,Cheese,NA,NA
display Gross Sales  Cold Cuts in Month Apr?,Gross Sales,NA,Cold Cuts,NA
get Revenue  Publix in Month Feb to Oct?,Revenue,NA,NA,Publix
fetch Top Line  Shelf Stable in Year 2019?,Top Line,NA,Shelf Stable,NA
fetch Gross Sales  Walmart in Year 2019?,Gross Sales,NA,NA,Walmart
display Bottom Line  Target in Month Dec?,Bottom Line,NA,NA,Target
fetch Gross Sales  Aldi in Month Feb to Sep?,Gross Sales,NA,NA,Aldi
fetch Net sales  BBQ in Quarter Q3?,Net sales,NA,BBQ,NA
generate Max Shipment  Amazon in Year 2019?,Max Shipment,NA,NA,Amazon
display Top Line  Breakfast in Week Week3?,Top Line,Breakfast,NA,NA
fetch Bottom Line  Hot Dogs in Quarter Q2 to Q4?,Bottom Line,NA,Hot Dogs,NA
generate Bottom Line  Creamers in Year 2019?,Bottom Line,NA,Creamers,NA
fetch Gross Sales  Mayonaise in Month Feb to Aug?,Gross Sales,NA,Mayonaise,NA
fetch Max Shipment  Cheese in Month Dec?,Max Shipment,Cheese,NA,NA
display Revenue  Cheese in Month Jun to Sep?,Revenue,Cheese,NA,NA
fetch Max Shipment  Bars/Snacks in Month Feb?,Max Shipment,NA,Bars/Snacks,NA
get Max Shipment  Meats in Year 2019?,Max Shipment,Meats,NA,NA
generate Revenue  Ahold in Quarter Q2?,Revenue,NA,NA,Ahold
fetch Gross Sales  Albertsons/Safeway in Quarter Q1 to Q4?,Gross Sales,NA,NA,Albertsons/Safeway
fetch Count  Publix in Month Dec?,Count,NA,NA,Publix
fetch Top Line  Aldi in Quarter Q2 to Q4?,Top Line,NA,NA,Aldi
generate Max Shipment  Walmart in Year 2019?,Max Shipment,NA,NA,Walmart
generate Net sales  Processed Cheese in Year 2019?,Net sales,NA,Processed Cheese,NA
get Count  Cheese in Year 2019?,Count,Cheese,NA,NA
get Max Shipment  Candy in Week Week2 to Week27?,Max Shipment,Candy,NA,NA
display Max Shipment  Gelatin in Year 2019?,Max Shipment,NA,Gelatin,NA
generate Revenue  Breakfast in Month Apr to Nov?,Revenue,Breakfast,NA,NA
fetch Count  Coffee in Quarter Q4?,Count,NA,Coffee,NA
display Top Line  Cold Cuts in Year 2019?,Top Line,NA,Cold Cuts,NA
get Top Line  Candy in Week Week16?,Top Line,Candy,NA,NA
get Gross Sales  UNIFI in Month Jan to Dec?,Gross Sales,NA,NA,UNIFI
fetch Gross Sales  Target in Month Nov?,Gross Sales,NA,NA,Target
get Net sales  Meats in Year 2019?,Net sales,Meats,NA,NA
fetch Bottom Line  Cold Cuts in Week Week42?,Bottom Line,NA,Cold Cuts,NA
get Revenue  Ahold in Month May to Sep?,Revenue,NA,NA,Ahold
fetch Revenue  Dollar General in Quarter Q2?,Revenue,NA,NA,Dollar General
generate Count  Processed Cheese in Month Jun to Oct?,Count,NA,Processed Cheese,NA
fetch Gross Sales  Aldi in Month Dec?,Gross Sales,NA,NA,Aldi
fetch Count  UNIFI in Month Feb to Aug?,Count,NA,NA,UNIFI
get Max Shipment  Sauces in Quarter Q4?,Max Shipment,Sauces,NA,NA
generate Revenue  Bars/Snacks in Month Mar to Oct?,Revenue,NA,Bars/Snacks,NA
fetch Count  Costco in Year 2019?,Count,NA,NA,Costco
fetch Max Shipment  Meats in Quarter Q2 to Q4?,Max Shipment,Meats,NA,NA
generate Net sales  Cheese in Quarter Q1?,Net sales,Cheese,NA,NA
generate Count  Hot Dogs in Week Week18 to Week41?,Count,NA,Hot Dogs,NA
get Net sales  Costco in Week Week24?,Net sales,NA,NA,Costco
get Max Shipment  Tea in Year 2019?,Max Shipment,NA,Tea,NA
fetch Count  Dollar General in Quarter Q4?,Count,NA,NA,Dollar General
get Top Line  Sauces in Quarter Q1 to Q4?,Top Line,Sauces,NA,NA
generate Top Line  Meats in Quarter Q4?,Top Line,Meats,NA,NA
display Revenue  Natural Cheese in Quarter Q2 to Q4?,Revenue,NA,Natural Cheese,NA
generate Top Line  Target in Month Oct?,Top Line,NA,NA,Target
generate Net sales  Shelf Stable in Quarter Q2 to Q4?,Net sales,NA,Shelf Stable,NA
get Net sales  Kroger in Week Week28?,Net sales,NA,NA,Kroger
get Revenue  Aldi in Month Feb to Nov?,Revenue,NA,NA,Aldi
generate Gross Sales  Enhancers in Year 2019?,Gross Sales,NA,Enhancers,NA
generate Gross Sales  Sauces in Week Week21 to Week52?,Gross Sales,Sauces,NA,NA
generate Count  Target in Quarter Q3?,Count,NA,NA,Target
generate Net sales  Coffee in Week Week12 to Week42?,Net sales,NA,Coffee,NA
display Gross Sales  Publix in Month Jan?,Gross Sales,NA,NA,Publix
generate Bottom Line  Caramels in Month Mar to Aug?,Bottom Line,NA,Caramels,NA
display Gross Sales  Candy in Year 2019?,Gross Sales,Candy,NA,NA
generate Gross Sales  Candy in Month Jan to Nov?,Gross Sales,Candy,NA,NA
display Top Line  Meats in Month Feb?,Top Line,Meats,NA,NA
generate Count  Mayonaise in Week Week2 to Week39?,Count,NA,Mayonaise,NA
generate Top Line  Processed Cheese in Week Week17?,Top Line,NA,Processed Cheese,NA
fetch Count  Publix in Quarter Q1 to Q4?,Count,NA,NA,Publix
get Count  Breakfast in Month Jan?,Count,Breakfast,NA,NA
get Max Shipment  Cheese in Month May to Sep?,Max Shipment,Cheese,NA,NA
display Gross Sales  Breakfast in Week Week38?,Gross Sales,Breakfast,NA,NA
fetch Gross Sales  Juice in Week Week8 to Week50?,Gross Sales,NA,Juice,NA
display Bottom Line  Coffee in Month Apr?,Bottom Line,NA,Coffee,NA
display Net sales  Walmart in Quarter Q2 to Q4?,Net sales,NA,NA,Walmart
fetch Count  Walmart in Quarter Q3?,Count,NA,NA,Walmart
generate Gross Sales  Cheese in Month Jan to Oct?,Gross Sales,Cheese,NA,NA
display Top Line  Gelatin in Year 2019?,Top Line,NA,Gelatin,NA
generate Net sales  Publix in Quarter Q2 to Q4?,Net sales,NA,NA,Publix
generate Top Line  Breakfast in Month May?,Top Line,Breakfast,NA,NA
generate Max Shipment  Candy in Month Jan to Nov?,Max Shipment,Candy,NA,NA
display Bottom Line  Bars/Snacks in Year 2019?,Bottom Line,NA,Bars/Snacks,NA
display Top Line  Grated in Year 2019?,Top Line,NA,Grated,NA
display Count  Kroger in Week Week14?,Count,NA,NA,Kroger
generate Net sales  Cheese in Quarter Q2 to Q4?,Net sales,Cheese,NA,NA
fetch Max Shipment  Kroger in Week Week44?,Max Shipment,NA,NA,Kroger
fetch Net sales  Walmart in Week Week18 to Week50?,Net sales,NA,NA,Walmart
display Count  Chocolate in Month Jan?,Count,NA,Chocolate,NA
get Bottom Line  Kroger in Quarter Q2 to Q4?,Bottom Line,NA,NA,Kroger
fetch Revenue  Breakfast in Quarter Q3?,Revenue,Breakfast,NA,NA
fetch Bottom Line  Ketchup in Month Mar to Sep?,Bottom Line,NA,Ketchup,NA
fetch Top Line  Shelf Stable in Week Week50?,Top Line,NA,Shelf Stable,NA
generate Bottom Line  Target in Month Mar to Aug?,Bottom Line,NA,NA,Target
display Net sales  Aldi in Month May?,Net sales,NA,NA,Aldi
display Gross Sales  Albertsons/Safeway in Quarter Q2 to Q4?,Gross Sales,NA,NA,Albertsons/Safeway
fetch Revenue  Hot Dogs in Quarter Q1?,Revenue,NA,Hot Dogs,NA
fetch Top Line  Costco in Year 2019?,Top Line,NA,NA,Costco
fetch Max Shipment  Target in Year 2019?,Max Shipment,NA,NA,Target
fetch Max Shipment  Gelatin in Quarter Q1 to Q4?,Max Shipment,NA,Gelatin,NA
generate Net sales  Costco in Quarter Q2?,Net sales,NA,NA,Costco
fetch Revenue  Publix in Week Week3 to Week44?,Revenue,NA,NA,Publix
generate Gross Sales  Kroger in Quarter Q2?,Gross Sales,NA,NA,Kroger
display Net sales  Costco in Quarter Q2 to Q4?,Net sales,NA,NA,Costco
fetch Max Shipment  Cheese in Week Week50?,Max Shipment,Cheese,NA,NA
generate Count  Meats in Month Apr to Aug?,Count,Meats,NA,NA
generate Max Shipment  Target in Quarter Q1?,Max Shipment,NA,NA,Target
display Revenue  Aldi in Year 2019?,Revenue,NA,NA,Aldi
get Revenue  Breakfast in Month Sep?,Revenue,Breakfast,NA,NA
fetch Count  Specialty Meats in Month Jun to Nov?,Count,NA,Specialty Meats,NA
get Count  Bars/Snacks in Year 2019?,Count,NA,Bars/Snacks,NA
display Revenue  Caramels in Year 2019?,Revenue,NA,Caramels,NA
generate Top Line  Costco in Year 2019?,Top Line,NA,NA,Costco
get Bottom Line  Ahold in Week Week21 to Week40?,Bottom Line,NA,NA,Ahold
get Top Line  Chocolate in Month Aug?,Top Line,NA,Chocolate,NA
display Gross Sales  Bars/Snacks in Week Week25 to Week35?,Gross Sales,NA,Bars/Snacks,NA
fetch Top Line  Hot Dogs in Quarter Q3?,Top Line,NA,Hot Dogs,NA
fetch Count  Breakfast in Week Week23 to Week50?,Count,Breakfast,NA,NA
generate Count  Processed Cheese in Year 2019?,Count,NA,Processed Cheese,NA
display Net sales  Creamers in Year 2019?,Net sales,NA,Creamers,NA
generate Revenue  Costco in Year 2019?,Revenue,NA,NA,Costco
display Max Shipment  Sauces in Week Week9 to Week28?,Max Shipment,Sauces,NA,NA
fetch Top Line  Breakfast in Year 2019?,Top Line,Breakfast,NA,NA
get Gross Sales  Ahold in Month May to Dec?,Gross Sales,NA,NA,Ahold
display Bottom Line  Grated in Month Oct?,Bottom Line,NA,Grated,NA
display Gross Sales  Bacon in Month Jan to Nov?,Gross Sales,NA,Bacon,NA
fetch Top Line  Shelf Stable in Quarter Q4?,Top Line,NA,Shelf Stable,NA
generate Bottom Line  Cheese in Year 2019?,Bottom Line,Cheese,NA,NA
fetch Net sales  Processed Cheese in Year 2019?,Net sales,NA,Processed Cheese,NA
fetch Max Shipment  Costco in Week Week19 to Week33?,Max Shipment,NA,NA,Costco
get Top Line  Candy in Year 2019?,Top Line,Candy,NA,NA
get Bottom Line  Ketchup in Quarter Q2 to Q4?,Bottom Line,NA,Ketchup,NA
get Net sales  Tea in Quarter Q1?,Net sales,NA,Tea,NA
get Bottom Line  Aldi in Week Week7 to Week39?,Bottom Line,NA,NA,Aldi
display Gross Sales  Meats in Month Apr?,Gross Sales,Meats,NA,NA
display Max Shipment  Kroger in Year 2019?,Max Shipment,NA,NA,Kroger
generate Revenue  Albertsons/Safeway in Month May?,Revenue,NA,NA,Albertsons/Safeway
generate Gross Sales  Amazon in Month Jan to Dec?,Gross Sales,NA,NA,Amazon
fetch Gross Sales  Sauces in Quarter Q2?,Gross Sales,Sauces,NA,NA
generate Count  Tea in Month Jan to Sep?,Count,NA,Tea,NA
get Gross Sales  Costco in Year 2019?,Gross Sales,NA,NA,Costco
fetch Max Shipment  Cold Cuts in Year 2019?,Max Shipment,NA,Cold Cuts,NA
get Bottom Line  Sauces in Quarter Q3?,Bottom Line,Sauces,NA,NA
fetch Net sales  Mayonaise in Month Apr to Nov?,Net sales,NA,Mayonaise,NA
generate Top Line  Ahold in Quarter Q4?,Top Line,NA,NA,Ahold
fetch Revenue  Candy in Year 2019?,Revenue,Candy,NA,NA
get Net sales  Processed Cheese in Month Sep?,Net sales,NA,Processed Cheese,NA
display Revenue  Albertsons/Safeway in Quarter Q2 to Q4?,Revenue,NA,NA,Albertsons/Safeway
fetch Max Shipment  Breakfast in Week Week27?,Max Shipment,Breakfast,NA,NA
get Revenue  Enhancers in Quarter Q1 to Q4?,Revenue,NA,Enhancers,NA
get Max Shipment  Gelatin in Quarter Q3?,Max Shipment,NA,Gelatin,NA
generate Gross Sales  Cheese in Year 2019?,Gross Sales,Cheese,NA,NA
generate Top Line  Aldi in Quarter Q4?,Top Line,NA,NA,Aldi
generate Count  Cheese in Year 2019?,Count,Cheese,NA,NA
get Count  Specialty Meats in Week Week41?,Count,NA,Specialty Meats,NA
generate Net sales  Dollar General in Month Jan to Sep?,Net sales,NA,NA,Dollar General
generate Max Shipment  UNIFI in Year 2019?,Max Shipment,NA,NA,UNIFI
generate Count  Tea in Quarter Q2 to Q4?,Count,NA,Tea,NA
display Net sales  Meats in Week Week2?,Net sales,Meats,NA,NA
generate Gross Sales  Caramels in Year 2019?,Gross Sales,NA,Caramels,NA
generate Bottom Line  Sauces in Month Nov?,Bottom Line,Sauces,NA,NA
generate Bottom Line  Costco in Week Week25 to Week27?,Bottom Line,NA,NA,Costco
display Count  Meats in Month Aug?,Count,Meats,NA,NA
generate Net sales  Meats in Month Mar to Aug?,Net sales,Meats,NA,NA
get Bottom Line  Creamers in Year 2019?,Bottom Line,NA,Creamers,NA
generate Net sales  Aldi in Year 2019?,Net sales,NA,NA,Aldi
display Max Shipment  Bars/Snacks in Week Week3?,Max Shipment,NA,Bars/Snacks,NA
display Max Shipment  Shelf Stable in Week Week5 to Week41?,Max Shipment,NA,Shelf Stable,NA
generate Max Shipment  Albertsons/Safeway in Year 2019?,Max Shipment,NA,NA,Albertsons/Safeway
generate Gross Sales  Meats in Year 2019?,Gross Sales,Meats,NA,NA
get Bottom Line  Target in Quarter Q4?,Bottom Line,NA,NA,Target
display Bottom Line  Shelf Stable in Week Week16 to Week32?,Bottom Line,NA,Shelf Stable,NA
get Gross Sales  Amazon in Week Week47?,Gross Sales,NA,NA,Amazon
fetch Top Line  Dollar General in Month May to Dec?,Top Line,NA,NA,Dollar General
display Bottom Line  Publix in Week Week50?,Bottom Line,NA,NA,Publix
fetch Bottom Line  Publix in Year 2019?,Bottom Line,NA,NA,Publix
generate Top Line  Dollar General in Year 2019?,Top Line,NA,NA,Dollar General
display Top Line  Cold Cuts in Month Feb to Aug?,Top Line,NA,Cold Cuts,NA
display Net sales  Cheese in Quarter Q4?,Net sales,Cheese,NA,NA
fetch Count  Candy in Month Jun to Oct?,Count,Candy,NA,NA
display Bottom Line  Kroger in Week Week14?,Bottom Line,NA,NA,Kroger
get Net sales  Walmart in Month Jan to Dec?,Net sales,NA,NA,Walmart
display Top Line  Publix in Month Mar?,Top Line,NA,NA,Publix
fetch Count  Bacon in Quarter Q2 to Q4?,Count,NA,Bacon,NA
generate Net sales  Aldi in Week Week10?,Net sales,NA,NA,Aldi
fetch Net sales  Cheese in Week Week18 to Week33?,Net sales,Cheese,NA,NA
generate Top Line  Grated in Year 2019?,Top Line,NA,Grated,NA
display Bottom Line  Albertsons/Safeway in Month May to Dec?,Bottom Line,NA,NA,Albertsons/Safeway
display Top Line  Candy in Year 2019?,Top Line,Candy,NA,NA
get Net sales  Sauces in Quarter Q2 to Q4?,Net sales,Sauces,NA,NA
fetch Max Shipment  Hard in Week Week29?,Max Shipment,NA,Hard,NA
display Count  Processed Cheese in Month Mar to Dec?,Count,NA,Processed Cheese,NA
display Revenue  Aldi in Month Jan?,Revenue,NA,NA,Aldi
get Count  Candy in Month Apr to Oct?,Count,Candy,NA,NA
get Max Shipment  Dollar General in Week Week8?,Max Shipment,NA,NA,Dollar General
display Bottom Line  Meats in Quarter Q2 to Q4?,Bottom Line,Meats,NA,NA
generate Gross Sales  Cold Cuts in Quarter Q1?,Gross Sales,NA,Cold Cuts,NA
display Max Shipment  Walmart in Quarter Q2 to Q4?,Max Shipment,NA,NA,Walmart
fetch Bottom Line  Sauces in Week Week15?,Bottom Line,Sauces,NA,NA
display Revenue  Candy in Quarter Q2 to Q4?,Revenue,Candy,NA,NA
fetch Count  Albertsons/Safeway in Month Nov?,Count,NA,NA,Albertsons/Safeway
display Gross Sales  Amazon in Year 2019?,Gross Sales,NA,NA,Amazon
generate Max Shipment  Meats in Year 2019?,Max Shipment,Meats,NA,NA
get Net sales  All others in Quarter Q1 to Q4?,Net sales,NA,All others,NA
get Top Line  Candy in Month Oct?,Top Line,Candy,NA,NA
generate Top Line  Sauces in Year 2019?,Top Line,Sauces,NA,NA
fetch Net sales  Sauces in Month Jun?,Net sales,Sauces,NA,NA
generate Max Shipment  Candy in Quarter Q2 to Q4?,Max Shipment,Candy,NA,NA
get Net sales  Candy in Year 2019?,Net sales,Candy,NA,NA
generate Max Shipment  Target in Month Feb to Dec?,Max Shipment,NA,NA,Target
display Max Shipment  Cheese in Week Week28?,Max Shipment,Cheese,NA,NA
fetch Max Shipment  Meats in Year 2019?,Max Shipment,Meats,NA,NA
generate Max Shipment  Ahold in Quarter Q4?,Max Shipment,NA,NA,Ahold
generate Max Shipment  UNIFI in Month Feb to Aug?,Max Shipment,NA,NA,UNIFI
get Bottom Line  Kroger in Month May?,Bottom Line,NA,NA,Kroger
display Count  Aldi in Quarter Q1 to Q4?,Count,NA,NA,Aldi
generate Revenue  Cheese in Quarter Q2?,Revenue,Cheese,NA,NA
get Gross Sales  Target in Month Feb to Sep?,Gross Sales,NA,NA,Target
display Top Line  Meats in Quarter Q4?,Top Line,Meats,NA,NA
get Revenue  Creamers in Year 2019?,Revenue,NA,Creamers,NA
fetch Bottom Line  Cheese in Year 2019?,Bottom Line,Cheese,NA,NA
fetch Count  Aldi in Quarter Q1 to Q4?,Count,NA,NA,Aldi
generate Count  Walmart in Year 2019?,Count,NA,NA,Walmart
display Max Shipment  Albertsons/Safeway in Year 2019?,Max Shipment,NA,NA,Albertsons/Safeway
display Max Shipment  Target in Quarter Q3?,Max Shipment,NA,NA,Target
get Max Shipment  Candy in Month Feb to Oct?,Max Shipment,Candy,NA,NA
fetch Top Line  BBQ in Quarter Q3?,Top Line,NA,BBQ,NA
generate Gross Sales  Grated in Quarter Q1 to Q4?,Gross Sales,NA,Grated,NA
generate Net sales  Gelatin in Year 2019?,Net sales,NA,Gelatin,NA
fetch Bottom Line  Natural Cheese in Week Week5 to Week44?,Bottom Line,NA,Natural Cheese,NA
display Count  Candy in Year 2019?,Count,Candy,NA,NA
display Count  UNIFI in Quarter Q2 to Q4?,Count,NA,NA,UNIFI
get Count  Ketchup in Week Week17?,Count,NA,Ketchup,NA
generate Top Line  Target in Quarter Q2 to Q4?,Top Line,NA,NA,Target
fetch Gross Sales  Candy in Week Week15?,Gross Sales,Candy,NA,NA
generate Net sales  Coffee in Year 2019?,Net sales,NA,Coffee,NA
fetch Max Shipment  Meats in Quarter Q2?,Max Shipment,Meats,NA,NA
get Count  Ahold in Year 2019?,Count,NA,NA,Ahold
fetch Revenue  Breakfast in Quarter Q4?,Revenue,Breakfast,NA,NA
